last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,Full Name
Fedde, Erick,2019,0.307,0.507,0.374,0.38,0.197,87.9,5.9,7.4,Erick Fedde
Tanaka, Masahiro,2019,0.265,0.437,0.316,0.307,0.169,88.7,10.9,6.2,Masahiro Tanaka
Gallen, Zac,2019,0.215,0.362,0.293,0.309,0.143,87,13.7,5.6,Zac Gallen
Osich, Josh,2019,0.253,0.45,0.311,0.294,0.195,87.8,9.7,7.7,Josh Osich
VerHagen, Drew,2019,0.264,0.427,0.33,0.342,0.16,89.1,8.8,7.2,Drew VerHagen
Ryan, Kyle,2019,0.241,0.347,0.297,0.329,0.104,88.6,5.9,3.5,Kyle Ryan
Foltynewicz, Mike,2019,0.26,0.459,0.329,0.319,0.198,87.8,14,7.8,Mike Foltynewicz
Diaz, Edwin,2019,0.207,0.366,0.277,0.287,0.157,89.7,15.7,10.1,Edwin Diaz
Pannone, Thomas,2019,0.255,0.471,0.348,0.342,0.214,89.1,18.4,9.6,Thomas Pannone
Gibson, Kyle,2019,0.27,0.438,0.331,0.335,0.165,87.8,6.5,7.5,Kyle Gibson
Flaherty, Jack,2019,0.217,0.364,0.278,0.28,0.145,86.1,15,6.9,Jack Flaherty
Barlow, Scott,2019,0.228,0.364,0.302,0.329,0.134,87.9,13.6,6.7,Scott Barlow
May, Trevor,2019,0.202,0.364,0.284,0.289,0.161,87.5,18.2,7,Trevor May
Norris, Daniel,2019,0.266,0.475,0.333,0.317,0.206,90.2,10.9,8.8,Daniel Norris
Bauer, Trevor,2019,0.227,0.406,0.311,0.314,0.177,88.1,16,8.6,Trevor Bauer
Turnbull, Spencer,2019,0.258,0.422,0.329,0.342,0.162,89.2,9.5,6.4,Spencer Turnbull
Chacin, Jhoulys,2019,0.273,0.479,0.353,0.352,0.205,88.5,16.3,7.9,Jhoulys Chacin
Rodriguez, Dereck,2019,0.285,0.48,0.349,0.348,0.193,88.7,12.7,7,Dereck Rodriguez
Darvish, Yu,2019,0.223,0.397,0.295,0.294,0.172,88.2,12.1,7.4,Yu Darvish
Buchholz, Clay,2019,0.299,0.556,0.376,0.347,0.254,86.6,10.4,13.2,Clay Buchholz
Urias, Julio,2019,0.209,0.324,0.267,0.287,0.114,83.2,17.8,4.3,Julio Urias
McHugh, Collin,2019,0.234,0.403,0.307,0.312,0.167,87.8,14.8,7,Collin McHugh
