last_name, first_name,player_id,year,on_base_plus_slg,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,oz_contact_percent,out_zone_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
Aguilar, Jesus,542583,2022,0.657,87.7,19.1,6.9,7.7,27.1,30.3,25.1,2.6,36,64.8,36.3,58.1,53.8,82.2,46.2,43,27,36.3,39.1,24.6,32.9,30.9,26.9,9.7
Berti, Jon,542932,2022,0.662,88,4.7,5.9,5.2,23.3,19.6,41.5,4.1,37,65.5,22.3,51.8,48.7,83,51.3,42.6,24.5,30,40.7,29.3,53,21.5,22.2,3.3
Crawford, Brandon,543063,2022,0.652,88.1,12.3,6.7,5.4,23.6,25.2,34.2,4.2,35.1,76.2,26.2,47.4,51,75.2,49,41.5,31.8,34.8,40.9,24.3,47.3,23.6,21.7,7.3
Cron, C.J.,543068,2022,0.783,88.7,14.2,10.8,5.5,24.3,26.7,28.4,4.1,42.3,63,33.2,60.5,51.2,84,48.8,45.3,24.3,33.7,40.6,25.7,39.2,27.9,26,7
Gomes, Yan,543228,2022,0.624,85.3,9.4,3.4,6,24.3,25.1,34.5,5.5,28.9,70.5,39.1,66.8,52.1,88.8,47.9,43.2,19.4,40.9,35.3,23.8,46.4,21.3,26.8,5.5
Grossman, Robbie,543257,2022,0.622,86.7,21.1,3.5,7.7,26.9,37.4,22.4,2.1,30.4,63,19.3,50.8,50.5,83.8,49.5,42.7,23.9,46.2,32.9,21,31.8,32.2,27.6,8.4
Harrison, Josh,543281,2022,0.686,87.4,14.7,3.8,5.3,26,28.8,33.2,2.8,32.3,72.9,35.1,69.6,48.3,82,51.7,43.4,21.5,35.1,39.8,25.1,43.9,28.2,21.6,6.3
Hicks, Aaron,543305,2022,0.641,87.9,14.8,5.8,2.9,26.3,30.9,29.5,4,33.1,62.4,20.6,56.1,51.1,79.7,48.9,43.7,25.8,44.2,32,23.7,44.6,23.7,20.5,11.2
Higashioka, Kyle,543309,2022,0.651,90.9,17.2,9.8,4.9,26.8,30.1,23,4.9,48.1,72.1,28.6,49.2,49.4,81.5,50.6,39.5,26.8,44.3,41,14.8,36.1,28.4,25.1,10.4
Hosmer, Eric,543333,2022,0.716,88.4,3.1,5.7,5.7,22.4,15.5,43.8,5.7,39.7,67,33.8,65.3,54.3,90.3,45.7,41.7,18.8,36,39.4,24.6,57.1,15.1,21.5,6.3
McCann, James,543510,2022,0.538,90.2,16.3,6.9,9.2,24.6,29.2,26.2,3.8,40.8,68.9,35,52,50.9,82.2,49.1,41.7,28.3,30,45.4,24.6,36.9,30.8,26.2,6.2
Miller, Brad,543543,2022,0.59,91.1,14.1,7.8,4.6,22.9,29.4,33.3,1.3,39.9,71.7,30.1,41,50.5,73.1,49.5,44.5,36.3,30.7,38.6,30.7,42.5,28.1,19.6,9.8
Nola, Austin,543592,2022,0.648,89.4,12,2.4,6.7,30.3,26.3,32,2,39.7,63,20.6,65.8,47.6,91.5,52.4,44.9,14.4,42.1,33.3,24.6,42.4,24.2,27.3,6.1
Rendon, Anthony,543685,2022,0.706,89.6,18.7,8.3,6.8,23.3,32.3,26.3,1.5,37.6,68.6,18.5,64.9,52.6,85,47.4,43.3,19.6,39.1,40.6,20.3,35.3,30.1,26.3,8.3
Semien, Marcus,543760,2022,0.733,87.3,19.9,6.8,6.2,23.8,35.3,24.1,3.8,34.9,71.2,24.8,57.2,51.7,87.6,48.3,43.7,20.6,43.5,34,22.5,33.6,34,21.8,10.6
Springer III, George,543807,2022,0.811,88.7,13.9,8.4,7.2,22,25.8,31.8,4.5,42.3,77.3,25.7,50.9,51.1,79,48.9,42,28.2,45.7,32.3,22,44.3,24.4,21.8,9.6
Vazquez, Christian,543877,2022,0.714,87.9,10.7,5.1,3.6,28.9,24.1,36.7,1.2,36.4,66.5,31.9,71.5,50,88.2,50,42.9,17.2,28.3,44,27.7,45.2,22.6,25.9,6.3
Wong, Kolten,543939,2022,0.768,87,14,5.4,6.3,21.2,26.6,34.4,5.7,35.5,64.2,22,57.8,50,85.7,50,41.4,20.2,41.8,33,25.2,43.6,23.5,25.2,7.7
Gregorius, Didi,544369,2022,0.567,84.5,15.8,2.8,5,25.6,31.1,30,5,22.8,81.4,41.2,55.4,52,86.7,48,42.6,24,32.8,42.8,24.4,41.7,26.7,22.8,8.9
Garcia, Leury,544725,2022,0.498,87,6.2,4.2,3.3,25,22.1,40,4.6,35.6,75.9,35.9,59.4,48.8,82.6,51.2,42.7,24.4,33.3,39.6,27.1,53.3,21.7,20.8,4.2
Vargas, Ildemaro,545121,2022,0.69,87,7.4,2.1,4.3,20.2,27.1,41,5.3,29.3,64.7,30.7,77,50,90.3,50,43.3,11.6,32.4,45.7,21.8,48.9,22.9,22.3,5.9
Grichuk, Randal,545341,2022,0.724,90,8.7,6.8,6.6,18.9,24.4,38.6,3.9,43.6,69.5,32.7,54.2,51.4,85.8,48.6,42,24.7,33.9,40.2,26,50.4,26,18.1,5.5
