last_name, first_name,player_id,year,on_base_plus_slg,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,oz_contact_percent,out_zone_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
Sanchez, Gary,596142,2022,0.659,90.5,14,13.5,5.9,19.1,27.1,26.4,7.6,49.3,60.7,28.7,49.3,52.2,79.5,47.8,39.8,30.8,47.9,29.2,22.9,43.8,29.9,18.4,8
Kepler, Max,596146,2022,0.666,89.1,11.2,7.1,5.2,25.2,25.2,33.7,3.7,39.9,70.6,23.5,58.9,51.9,87.2,48.1,44,19.9,41.7,34.4,23.9,46.6,24.5,23.3,5.5
Franco, Maikel,596748,2022,0.597,87,11.5,4.7,5.7,25.1,25.8,32.4,5.4,34.4,68.3,38.5,60.7,49.4,78.2,50.6,42.9,28,44.1,33.8,22.1,44.5,21.1,24.1,10.4
Choi, Ji-Man,596847,2022,0.729,92.2,10.6,11.9,8.1,27.5,16.9,33.1,2.5,47.5,67.5,19.9,44.4,54.1,75.3,45.9,42.8,32.3,40.7,35.2,24.2,46.6,25,23.7,4.7
Bradley Jr., Jackie,598265,2022,0.565,87.6,7.4,4.8,7.4,22.3,21.9,36.8,6.7,37.2,69.7,28.6,56.5,48.6,74.8,51.4,41.9,29.4,39.8,36.4,23.8,51.3,21.2,21.2,6.3
La Stella, Tommy,600303,2022,0.632,87.9,14.6,2,6.5,24.2,32,34.6,0.7,32,53.1,27.6,69.2,48.7,89.8,51.3,44.2,16.7,37.3,39.9,22.9,39.2,24.8,28.1,7.8
Candelario, Jeimer,600869,2022,0.633,87.2,13.5,8.3,4,21.3,28.4,32.7,4.3,34.6,74.6,33.5,59.7,53.7,81.5,46.3,42.2,25.4,39.8,33.6,26.5,42.6,24.1,24.4,9
Daza, Yonathan,602074,2022,0.732,84.8,4.6,1.9,2.5,32.5,16.6,40.9,5.3,25,66,35.7,69.9,51.4,87,48.6,41.7,18.7,34.4,38.4,27.2,55.6,17.8,24.4,2.2
Urias, Ramon,602104,2022,0.718,89.4,11,9.6,5.4,24.7,20.8,33.7,5.1,46.5,70.8,29,56.9,50.1,79,49.9,42.8,27.4,37.8,36.9,25.3,47.8,24.4,20.5,7.4
Anderson, Brian,605119,2022,0.657,88.7,7.7,9.7,4.2,24.8,20.2,34.5,6.3,42,73.9,29,51.9,51.7,76.8,48.3,42.4,30.3,38.7,36.1,25.2,51.3,22.3,21.4,5
Barnes, Austin,605131,2022,0.701,87.4,13.6,4.8,5.5,18.6,31.7,33.1,6.2,35.2,65.9,15.3,59,46.9,86.2,53.1,41.4,17.6,33.8,35.2,31,43.4,29,20,7.6
Bell, Josh,605137,2022,0.782,88.9,8.4,7.2,3.7,27.4,20.6,36.6,4.2,40.8,68.8,24.9,65.4,53.3,83.6,46.7,45.6,21.7,37.1,35.7,27.2,50.7,19.7,24.1,5.7
Betts, Mookie,605141,2022,0.873,90.5,18.6,9.7,8.7,22.7,31.8,22.7,3.8,44.9,66.9,22.2,59.5,50.9,91.7,49.1,43.5,16.5,44.3,34.5,21.2,33.7,35.6,23.1,7.6
Caratini, Victor,605170,2022,0.641,89.4,6.6,6.3,5.3,28.5,20.3,35.7,3.9,43.5,60.9,23.8,55,50.2,88.6,49.8,44,20.9,33.8,38.6,27.5,50.2,19.8,25.1,4.8
Davis, J.D.,605204,2022,0.758,92.4,12.3,16.2,5.6,26.3,18.7,30.8,2.5,56.1,76.7,25.4,47.1,49.5,67.5,50.5,43.5,37.4,35.9,38.9,25.3,46,22.7,25.3,6.1
Garcia, Aramis,605244,2022,0.503,87.5,19.6,2.6,6.6,28.9,30.3,27.6,3.9,36.8,72.9,31.3,48.6,49.9,77.4,50.1,40.5,30.8,36.8,42.1,21.1,36.8,22.4,28.9,11.8
Machin, Vimael,605353,2022,0.587,89.3,10.2,3.9,7.3,26.3,24,38,0.6,39.1,65.5,26.5,66.2,53.4,89.2,46.6,40.3,17.9,29.6,40.2,30.2,44.7,27.4,25.7,2.2
Perez, Michael,605421,2022,0.51,88.8,18.3,7.8,8.9,20,34.4,24.4,4.4,36.7,59.4,28.2,49.3,48.4,80.8,51.6,44.3,28.4,45.6,30,24.4,35.6,33.3,21.1,10
Zimmer, Bradley,605548,2022,0.434,87,10.5,11.5,1.6,11.5,26.2,32.8,16.4,34.4,68.9,33.2,38.6,48.1,70.1,51.9,45.8,37.4,31.1,39.3,29.5,54.1,27.9,13.1,4.9
Castro, Harold,605612,2022,0.679,87,11.4,6.1,7.8,28.9,20.5,31.2,4.3,33.3,69.3,39.8,69.8,52.7,86.4,47.3,42.9,19.8,32.7,35,32.4,44.2,25.7,27.5,2.6
Arcia, Orlando,606115,2022,0.733,90.7,11.7,7.5,8.1,25.6,24.4,28.7,5,42.5,63.7,27,48.8,51.8,83.7,48.2,43.3,27.3,41.9,36.3,21.9,47.5,28.1,18.8,5.6
Tapia, Raimel,606132,2022,0.668,87.6,4,5.1,3.3,26.9,18.9,40.7,4.8,38,70.2,42.3,66.9,52.9,85.1,47.1,44.2,21.5,30.8,39.8,29.3,54.2,18,24.3,3.6
Aquino, Aristides,606157,2022,0.609,85.6,17.4,8.2,1.9,20.9,32.3,24.7,9.5,34.6,76.6,39.2,44.1,53.7,72.8,46.3,39.6,37.9,45.6,32.3,22.2,39.9,27.2,17.1,15.8
Hernandez, Teoscar,606192,2022,0.807,92.6,11.6,15,7.5,23.3,19.9,32,2.3,53.3,69,30.3,44.1,52.1,74.9,47.9,40.9,35.1,38.6,34.9,26.5,44.4,25.6,24.8,5.2
Marte, Ketel,606466,2022,0.727,90.1,13.5,6.1,5.8,28,27.3,29.5,3,41.9,65.8,28,69.6,52.2,83.4,47.8,43.8,20.7,42.7,35.6,21.7,43.2,25.3,24.5,7.1
Haase, Eric,606992,2022,0.748,87.7,17,8.7,7.9,21.4,28.4,27.5,5.2,42.4,70.2,35.4,51.1,54.1,76.7,45.9,41.6,32.8,41.9,33.2,24.9,39.7,24.5,25.8,10
Nimmo, Brandon,607043,2022,0.798,89.4,6.1,7,3.6,25.1,19.8,38.5,5.5,39.8,64.8,21.2,61.4,48.3,85.9,51.7,43.4,19.6,29.6,41.5,28.9,51.7,20.6,21.7,6
Peterson, Jace,607054,2022,0.696,88.6,9.7,7.2,5.3,23.6,23.1,35.1,5.3,36.1,57.8,23.4,48.5,49.1,81.1,50.9,40.1,26.7,38.9,38.5,22.6,46.6,26,24.5,2.9
Turner, Trea,607208,2022,0.808,88.9,10.2,7.6,6.5,24.3,24.3,34.5,2.3,41.6,72.4,33.1,53.7,53.9,84.5,46.1,41.6,26.3,41.4,34.7,23.9,43.5,26.2,24.7,5.7
Stallings, Jacob,607732,2022,0.584,86.7,12.9,3.4,6,25.6,28.2,34.2,2.6,32.3,61.9,26,53.8,50.8,87.3,49.2,44.2,22.7,28.9,38.3,32.7,42.9,27.4,21.4,8.3
Ramirez, Jose,608070,2022,0.869,87.7,20.7,6.6,6.4,22.3,37.3,21.8,5.3,36.9,66.4,28.7,73.1,53.4,90.1,46.6,43.8,15.1,44.7,34.8,20.5,32.6,28.6,24.6,14.2
Bregman, Alex,608324,2022,0.82,88.9,19.5,7.3,9.4,24.3,32.6,23.3,2.9,37.8,65.8,17.7,67.6,53.2,90.5,46.8,42.7,14.9,45.1,34.7,20.2,33.5,32.6,24.5,9.4
Gallo, Joey,608336,2022,0.638,89.6,23.8,17.6,8,14.4,34.6,17.6,8,50.5,70.1,27.5,37.5,53.3,68.3,46.7,44.4,40.6,48.4,34,17.6,28.2,39.4,20.2,12.2
Kelly, Carson,608348,2022,0.617,87.7,14.7,5.2,7.2,22.8,30,30,4.4,36.8,62.7,24.3,59.9,49.7,86.2,50.3,45.1,21.1,38.8,39.2,22,40.8,28.4,22.8,8
Seager, Corey,608369,2022,0.772,91.1,13.6,10.5,9.9,24.2,25.1,28.1,1.8,45.5,80.6,30.5,45.2,52.2,85.1,47.8,42.8,26.5,39.6,35.6,24.8,40.2,30.3,25.9,3.6
Winker, Jesse,608385,2022,0.688,87.7,16.8,7.6,3.1,26.1,31.5,28.1,3.4,34.3,68,18.9,59.7,50.2,85.6,49.8,44.3,19.9,36.5,37.4,26.1,38.8,28.9,22.5,9.8
Mazara, Nomar,608577,2022,0.668,86.1,17.6,4.2,8.4,26.1,30.3,27.7,3.4,32.8,65,29.7,58.6,52.4,80.5,47.6,40.6,26.8,33.6,38.7,27.7,36.1,29.4,26.9,7.6
Plawecki, Kevin,608700,2022,0.571,89.3,11.4,0,6.5,26.8,27.5,36.2,2.2,37.7,64.9,28.6,62,50.1,87.2,49.9,42.7,19.9,37.7,40.6,21.7,47.8,21,25.4,5.8
Refsnyder, Rob,608701,2022,0.881,89.9,13.1,10.9,11.8,31.8,15.5,27.3,2.7,44.5,59.2,25.1,64.4,49,79.6,51,44.1,24.8,39.1,32.7,28.2,37.3,24.5,34.5,3.6
Reynolds, Matt,608703,2022,0.652,90.2,5.6,3,9,26.3,16.8,43.1,0.6,42.4,59.1,25.4,40.8,52.3,84.7,47.7,40.5,29.2,26.3,42.5,31.1,51.5,20.4,26.3,1.8
Meneses, Joey,608841,2022,0.93,91.4,9.5,9.9,5.8,26.7,19.2,35.5,2.3,47.1,66.9,30.2,61.5,50.4,83.6,49.6,41,23.3,34.3,37.8,27.9,47.7,23.8,25.6,2.9
Andujar, Miguel,609280,2022,0.568,84.4,9.2,3.7,4.6,29.6,25,30.6,5.6,31.5,66,39.6,66.7,53.4,83.4,46.6,43.6,23.4,34.3,42.6,23.1,40.7,19.4,28.7,11.1
Vosler, Jason,613564,2022,0.812,84.7,15.2,4.3,8.6,27.1,27.1,28.6,4.3,25.7,64.3,31.4,56.5,52.5,82,47.5,46.1,25.9,50,31.4,18.6,37.1,22.9,30,10
Cordero, Franchy,614173,2022,0.695,89.7,12.7,12.3,10.4,21.4,22.1,25.3,8.4,45.5,70,30.7,42.5,53.5,72.1,46.5,41.6,37.1,40.3,34.4,25.3,39.6,27.9,26.6,5.8
Reyes, Franmil,614177,2022,0.638,92,9.9,11.3,8.5,19,22.2,37.7,1.1,45.8,68.4,28.4,36,51.6,74.9,48.4,42.7,37.1,37.7,34.9,27.5,47.9,22.9,22.2,7
Torrens, Luis,620443,2022,0.581,90.3,8.9,4.9,4.9,35.9,19.4,31.1,2.9,46.6,66.5,25.8,42.9,48,84.2,52,43,26.7,29.1,42.7,28.2,46.6,17.5,30.1,5.8
Swanson, Dansby,621020,2022,0.776,90.2,15.7,10.8,8,27.1,25.3,26.4,2.2,46.3,72.4,26.3,50.4,49.9,76.2,50.1,44.1,30.7,38.7,36.4,24.9,38.3,29.4,26.8,5.4
Newman, Kevin,621028,2022,0.685,85.8,13.1,1.6,3.3,28.8,25.9,33.3,6.2,27.2,64.9,31.2,70.2,49.8,90.3,50.2,46.8,15.6,37,42.8,20.2,44,18.9,28,9.1
Taylor, Chris,621035,2022,0.677,87.4,20.4,10.2,6.1,24.5,31.8,21.2,5.7,38,75.2,23,33.6,48.3,67.6,51.7,44.1,39.9,41.6,32.7,25.7,32.2,32.7,28.6,6.5
Correa, Carlos,621043,2022,0.834,89.9,11.6,11.4,5.7,25.4,23.7,29.4,4.4,44.7,63.3,26.9,63.4,52,84.7,48,42.3,22,38.5,39.5,22,42,25.9,25.7,6.4
Phillips, Brett,621433,2022,0.462,88.5,22.8,4.5,5.4,25,34.8,23.2,7.1,29.5,63.8,22.6,40.4,46.8,65.5,53.2,41.6,38.2,46.4,33.9,19.6,33.9,30.4,23.2,12.5
Taylor, Tyrone,621438,2022,0.729,88,16.9,9.9,7.3,20.8,27.7,28.1,5.8,37.6,68.8,32.3,49.8,49,84.1,51,41.7,26.5,40.9,38.3,20.8,38.3,33.2,21.5,6.9
Buxton, Byron,621439,2022,0.833,92.9,21.4,16.4,7.1,18.7,31.6,23.6,2.7,50.2,66.1,26.8,42.6,49.2,75,50.8,41.5,34.1,54.2,27.6,18.2,30.7,36,21.3,12
Bolt, Skye,621450,2022,0.589,89.2,9.3,5.2,3.9,19.5,29.9,37.7,2.6,35.1,67.4,27.9,53.6,51.1,78,48.9,40.4,28.5,37.7,40.3,22.1,48.1,24.7,22.1,5.2
Ward, Taylor,621493,2022,0.833,90,15.8,12.4,7.4,26.3,25.3,25,3.4,42.9,62.2,20.6,58.9,49.9,83.9,50.1,44.3,22.2,38.4,36.1,25.5,35.5,31.3,27.1,6.1
Nido, Tomas,621512,2022,0.589,86.3,8.3,6.3,8.1,24.8,15.3,35.1,9.9,33.3,81.6,42.1,54.4,53.2,69.5,46.8,44,34.4,26.6,43.7,29.7,53.2,19.4,24.8,2.7
Wisdom, Patrick,621550,2022,0.724,90.7,21,14.2,6.2,15.6,33.2,24.6,4.8,46.3,70.5,26.4,38.1,50.6,73.7,49.4,43.9,36.4,48.1,32.2,19.7,34.9,31.8,20.4,12.8
Wendle, Joey,621563,2022,0.657,87.5,3,1.7,5,25.2,21.3,42.9,3.7,36.2,66.6,39.8,69.8,50,89.2,50,42.2,16.7,31.6,37.2,31.2,55.1,19.3,23.3,2.3
Olson, Matt,621566,2022,0.802,92.9,16.1,13.6,7.6,22,27.6,27.1,2,50.9,73.9,28.5,58.4,53.6,76.6,46.4,41.6,28.9,38.7,39.3,22,39.6,28.4,22,10
Duffy, Matt,622110,2022,0.619,87.1,9.9,2.8,5.1,28.7,24.2,37.6,1.1,25.8,64.1,25.6,50.9,47.8,88.2,52.2,45.3,21.8,24.7,39.9,35.4,46.1,25.8,25.3,2.8
Margot, Manuel,622534,2022,0.7,89.5,10.2,3.7,3.7,28.3,24.2,34.6,5.2,37.9,74.4,32.6,54.2,51.9,83.6,48.1,42.8,24.7,26,46.8,27.1,46.1,17.5,26.8,9.7
Camargo, Johan,622666,2022,0.611,86.4,11.6,2.6,2.6,24.1,30.2,34.5,6,27.6,68.1,33.8,66.4,56.4,80.8,43.6,42.6,24.9,41.4,33.6,25,43.1,22.4,26.7,7.8
Reyes, Victor,622682,2022,0.651,87.9,10.9,5,5,31.4,21.9,30.6,6.2,36.8,71.5,42.6,68.6,53.5,73.9,46.5,44,27.1,38,34.7,27.3,45.5,19.4,28.5,6.6
Mateo, Jorge,622761,2022,0.643,86.8,14.8,6,5.7,21.6,29.5,30.7,6.3,32.7,72.6,36.6,48.4,51.9,78.1,48.1,41,30.9,34.9,36.1,29,38.6,25.9,26.7,8.8
Heineman, Tyler,623168,2022,0.538,82.7,19.9,0,0.7,30.6,36.1,20.8,11.8,13.2,73.5,36.5,71.3,49.2,88,50.8,44,15.3,38.2,34.7,27.1,39.6,25.7,22.2,12.5
Velazquez, Andrew,623205,2022,0.536,88,8.2,6.6,6.6,24.1,18.9,33.5,9.9,34,76.8,29.3,43.3,48.3,70.4,51.7,43.7,34,30.7,43.4,25.9,50.9,24.5,20.3,4.2
Bote, David,623520,2022,0.746,92.4,7.9,6.9,8.3,30.6,12.5,34.7,5.6,55.6,61,28,38.2,49.2,79.1,50.8,45.7,33.5,43.1,31.9,23.6,48.6,11.1,30.6,8.3
Ramirez, Harold,623912,2022,0.747,88.5,4.8,4.8,6.6,26.9,17.9,37.3,6.3,41.2,72.7,41.9,60.7,53,83.5,47,40.7,25.5,35.8,43.3,20.9,51.9,16.4,26.3,5.4
Santander, Anthony,623993,2022,0.773,90.1,21.4,11.6,8.1,21.7,31.9,23,3.7,43.3,65.5,32.5,65.6,53.8,86,46.2,43.1,21.5,43.1,35.7,21.2,32.2,28.7,23.4,15.8
Alonso, Pete,624413,2022,0.869,89.8,18.2,12.3,4.8,23.8,30.1,24.1,4.8,44.8,70.9,33.5,61.9,56.2,84.3,43.8,44.2,24.2,41.4,34.1,24.5,36.4,30.5,23,10
Arroyo, Christian,624414,2022,0.734,88.9,9.1,6.4,4.3,34,18.3,31.9,5.1,42.1,76.9,39.9,60.4,52.3,90.1,47.7,43.4,20.5,33.2,41.3,25.5,47.2,19.1,27.7,6
Biggio, Cavan,624415,2022,0.667,87.9,19.6,6.9,8.6,23,32.8,27,1.1,32.8,62.4,16.4,44.6,48,80.3,52,44.6,25.9,46,31,23,35.6,37.4,19.5,6.9
Frazier, Adam,624428,2022,0.61,85.1,13.6,1.5,4,28.9,28.5,32.8,4.2,24.5,68.3,28.8,71.8,49.5,90.6,50.5,42.7,14.4,35.1,38.1,26.8,41.8,23.8,27.8,6.5
Trevino, Jose,624431,2022,0.671,87.9,13,5.1,4,24.8,31,29.2,4.4,35,60.7,40,69.3,51.9,84.8,48.1,42.7,21.1,35.4,40.5,24.1,40.9,27.7,23.4,8
Gordon, Nick,624503,2022,0.741,90.6,12.5,9.4,8.1,26.2,21,33,2.3,44.7,78.7,39.2,55.9,48.9,79.6,51.1,43.4,27.8,41.1,32.7,26.2,42.1,29.8,25.6,2.6
McGuire, Reese,624512,2022,0.669,87,14.1,2.5,5.9,26.2,28.2,29.7,7.4,29.7,66.2,38.1,61.6,51.6,87.7,48.4,44.4,20.8,36.1,35.6,28.2,42.1,20.3,28.2,9.4
Soler, Jorge,624585,2022,0.694,91.2,13.7,12.2,6.6,22.1,27.6,27.6,3.3,43.6,69.2,25.8,48.9,53.4,76.9,46.6,42.6,31.5,49.7,34.3,16,43.1,27.6,21,8.3
Sosa, Edmundo,624641,2022,0.643,86.8,11.4,5.5,6.3,25.8,22.7,34.4,5.5,29.7,69.8,45.6,48.1,52.4,82.5,47.6,41.7,31.4,42.2,31.3,26.6,46.9,20.3,26.6,6.3
Hernandez, Yadiel,628450,2022,0.722,88.8,3.5,8.6,7.7,28.8,15.5,34.3,3.9,42.1,72.9,31.5,57.1,51.7,76.3,48.3,43.9,29.5,28.3,45.5,26.2,50.6,23.2,25.3,0.9
Ibanez, Andy,628451,2022,0.551,88.3,14.9,6.1,8.2,18.4,30.6,33.7,3.1,39.8,71.4,24.5,56.7,52.7,89.8,47.3,41.9,19.4,26.5,44.9,28.6,43.9,29.6,12.2,14.3
Cronenworth, Jake,630105,2022,0.721,87.6,18.2,5.6,6.9,20,37.1,25.2,4.7,34.1,60.1,21.6,61.3,47.6,88.6,52.4,43.2,18,34.3,36.2,29.5,36.2,34.1,21.1,8.6
Meadows, Austin,640457,2022,0.675,87.8,17.2,6.3,6.3,31.5,31.5,19.8,3.6,39.6,62.8,21.1,73.8,52.2,91.5,47.8,42.4,13.2,36,38.7,25.2,37.8,24.3,27,10.8
Mercado, Oscar,640458,2022,0.614,86.3,22.2,6.5,6.5,19.4,37.6,26.9,3.2,29,81.1,32.8,48.7,50.5,83.1,49.5,41,26.6,45.2,30.1,24.7,32.3,35.5,18.3,14
Pinder, Chad,640461,2022,0.646,87.5,9.7,6.5,7.3,26,18.7,35,5.3,40.7,75.4,30.1,47.4,49.7,72.7,50.3,43.5,34.5,36.2,37.4,26.4,50,20.7,22.8,6.5
Azocar, Jose,640492,2022,0.628,88.3,9.4,2.5,5,25,23.8,37.5,5,30.6,76,38.4,63.5,53.9,79.9,46.1,41.1,24.1,20,45,35,51.2,24.4,21.3,3.1
Anderson, Tim,641313,2022,0.734,88.2,3.3,5.8,5.4,31.8,10.8,41.5,4,41.2,75.8,41.6,63.9,52.4,84.5,47.6,44,23.2,31,39,30,55.2,17,27.4,0.4
Bellinger, Cody,641355,2022,0.654,89.4,20.3,8.3,5.8,25.3,35.8,23.3,1.1,38.1,68.1,31.8,62.6,50.1,77.5,49.9,44.5,27.2,45.8,33.1,21.1,35.6,32.8,22.2,9.4
Collins, Zack,641470,2022,0.551,91,20.1,8.8,5.3,24.6,35.1,26.3,0,40.4,64.5,18.9,26.1,50.9,74.8,49.1,46.1,36.5,54.4,21.1,24.6,28.1,40.4,24.6,7
Crawford, J.P.,641487,2022,0.674,85.1,8.9,2,4.7,24.3,24.3,37.3,6.5,29.7,61.9,20.5,68.4,49.8,90.4,50.2,43.6,14.3,33.7,39.3,27,46.5,18.2,27.2,8.1
Delay, Jason,641511,2022,0.534,84.9,15.7,1.9,1.9,27.4,32.1,33,3.8,28.3,74.6,31.4,47.4,46.4,75.9,53.6,45.5,31.2,39.6,39.6,20.8,41.5,22.6,26.4,9.4
Dozier, Hunter,641531,2022,0.679,88.5,13.1,7.7,5,25.4,26,32.2,3,38.5,71.6,33,44.4,54.3,85.2,45.7,41.5,29.2,40.5,36.7,22.8,42.9,24,25.1,8
Engel, Adam,641553,2022,0.579,87.9,15,1.8,5.3,28.4,29.6,31.4,3,33.1,67.7,28.1,41.3,51.3,75.8,48.7,43.1,33.6,40.8,30.2,29,38.5,23.7,27.8,10.1
Fraley, Jake,641584,2022,0.812,85.1,13.8,7.3,5.5,25,25,32.3,3.7,27.6,68.8,25,52.4,51.6,84,48.4,43.8,24.1,44.5,29.9,25.6,43.3,28,23.2,5.5
Garver, Mitch,641598,2022,0.702,88.9,18.4,8.8,11.7,21.2,32.1,24.1,2.2,38.7,61.4,21.9,58,48.4,80.3,51.6,41.7,25.3,56.2,24.1,19.7,34.3,38,21.2,6.6
Guillorme, Luis,641645,2022,0.689,86.2,4.3,2.4,2.8,30.8,15.4,42.3,6.3,24.9,57.5,21.2,72.1,46.7,91,53.3,42.8,13.3,28.1,43.1,28.9,56.9,14.6,27.3,1.2
Hampson, Garrett,641658,2022,0.59,86.5,10.2,4.3,4.3,18.4,26.2,33.3,11.3,27.7,60.2,27.9,49.6,49,81.3,51,41.6,25.4,31.2,41.8,27,52.5,19.9,22,5.7
Heim, Jonah,641680,2022,0.697,89.3,17,6.9,5.9,20.6,33,29.9,3.1,39.9,73,29.6,64,51.3,84.3,48.7,42.8,21.4,50.5,32.1,17.4,38.9,30.8,20.9,9.3
Leblanc, Charles,641779,2022,0.723,87.3,16.9,8.7,5.8,23.3,27.2,27.2,7.8,32,62.5,27.5,47,51.9,85.2,48.1,41.8,25.5,42.7,24.3,33,37.9,28.2,25.2,8.7
Mancini III, Trey,641820,2022,0.71,89.5,12.7,9.8,10.3,23.7,23.4,30.6,2.1,40.4,67.4,30.1,54.5,51.8,81.3,48.2,42.4,27.4,40.9,35.7,23.4,40.6,27.8,25.4,6.2
McMahon, Ryan,641857,2022,0.741,91.7,10.8,10.4,6.7,27,21.1,30.2,4.3,46.5,63.4,25.4,52.1,48.1,79.1,51.9,44.4,28.2,35.3,36.4,28.3,44.7,27.5,26.2,1.6
Neuse, Sheldon,641914,2022,0.561,89.1,1.5,3.1,2.6,27.7,13.1,49.7,1.6,38.2,70.2,31.4,48.1,50.3,84,49.7,40.7,27.2,24.6,41.9,33.5,62.8,15.2,20.4,1.6
O'Neill, Tyler,641933,2022,0.7,89.8,13.6,11.3,6.7,22.3,24.8,30.7,3.8,43.3,68,25.9,50.7,51.6,76.6,48.4,41.8,30.9,42,35.7,22.3,42.4,25.2,25.2,7.1
Smith, Dominic,642086,2022,0.56,89.6,10.9,7.1,7.1,24.2,25.3,33.3,3,46.5,67,26,49.4,52.7,84.7,47.3,45.6,26,33.3,45.5,21.2,47.5,28.3,20.2,4
Tellez, Rowdy,642133,2022,0.767,91.1,15.3,12.9,7.3,21.4,26,28.7,3.2,46,61.2,27,60.5,51.8,83.3,48.2,41.8,23.8,37.7,43.6,18.7,39.7,29.9,20.4,10
VanMeter, Josh,642165,2022,0.558,88.1,14.3,4.7,7,29.7,30.5,24.2,3.9,33.6,54.7,13.7,49,44.5,85.7,55.5,41.3,20.1,34.4,40.6,25,39.1,32,25,3.9
Wade, Tyler,642180,2022,0.536,83.9,11.5,1.7,3.4,18.5,26.9,28.6,21,16,67.2,25.9,57,48.6,82,51.4,43.2,18.9,32.8,38.7,28.6,49.6,20.2,24.4,5.9
White, Eli,642201,2022,0.578,86.4,21.5,4.6,9.2,23.1,29.2,16.9,16.9,29.2,67.7,23.6,32,47.7,68.2,52.3,44.8,39.6,40,23.1,36.9,41.5,29.2,18.5,10.8
Mejia, Francisco,642336,2022,0.645,86.8,15.7,2.7,5.8,29.8,32.4,27.1,2.2,28,73,51.3,65.7,54,85,46,41.9,23.4,42.2,36,21.8,36.9,26.2,28.9,8
Siri, Jose,642350,2022,0.607,87.2,15.4,6.2,5.2,23.7,28.9,29.9,6.2,33,69.3,36.4,48.2,53.6,73.2,46.4,40.9,35.9,38.1,37.1,24.7,43.3,25.8,19.6,11.3
Rosario, Amed,642708,2022,0.715,88.4,5,4.5,5.5,24.5,18.1,42.6,4.5,38.3,66.9,40,70.2,51.4,84.6,48.6,42.6,21,30.4,40.6,29.1,52.5,16.8,25.7,5.1
Adames, Willy,642715,2022,0.756,88.9,18.9,13,6.5,22.2,29.2,25.2,4,43.6,71.2,29.8,54,52.3,79.9,47.7,42.7,28.2,37.7,36.7,25.7,34.2,33.4,22.7,9.7
Alcantara, Sergio,642727,2022,0.615,86.6,13.5,1.9,3.9,26.6,29.9,33.8,3.9,32.5,58.8,26.4,56.1,49.5,83.9,50.5,44.2,23.8,40.3,31.8,27.9,45.5,30.5,20.8,3.2
Estrada, Thairo,642731,2022,0.721,86.2,8.1,4.4,4.7,24.2,21,38.5,6.7,31.1,67.3,32.3,62.7,51.6,87.5,48.4,45.7,19.7,40,37.5,22.5,51.4,20.5,21,7.2
Wynns, Austin,642851,2022,0.669,84.1,10.4,4,4,23.8,25.4,31.7,11.1,27,54.6,31.3,58.1,47.7,86.6,52.3,42.7,22.9,37.3,33.3,29.4,46.8,23,23.8,6.3
Benintendi, Andrew,643217,2022,0.771,89.2,12.6,5.1,6.2,30,25.1,30.8,2.8,38.7,73.2,22.7,70.5,49.6,81.9,50.4,42.2,20.7,29,41,30,43.8,26.7,25.9,3.6
Cooper, Garrett,643265,2022,0.752,89.6,8.8,10.7,8.3,26,18.3,31,5.3,43.7,61,30.3,59.2,51.3,83.2,48.7,41,25.1,33.3,39.7,27,45.3,25,28.7,1
Dubon, Mauricio,643289,2022,0.562,84.7,16.7,2.3,5.9,22.6,33,28.1,8.1,29.9,72.7,38.2,79,49.4,86,50.6,42.8,15.2,34.4,43,22.6,39.4,31.7,20.4,8.6
Jansen, Danny,643376,2022,0.855,90.4,22.2,13.1,6.3,22.7,33,21,3.4,46.6,67.4,21,59.4,47.7,83.2,52.3,43.2,21.8,50,35.2,14.8,33.5,32.4,18.8,15.3
Kemp, Tony,643393,2022,0.639,84.4,15,1.6,4.1,23.6,30,33,7.3,14.9,68.4,29.4,76.3,49.8,89.7,50.2,44.2,13.1,39,38.1,22.9,43.3,24.3,22.9,9.4
Kiner-Falefa, Isiah,643396,2022,0.64,86.2,4.3,1.2,4.3,26.5,18.1,43.2,6.4,30.1,58,30.8,78.4,48.7,93.8,51.3,45,11.2,31.5,38.9,29.6,55.8,14.8,23.6,5.7
McNeil, Jeff,643446,2022,0.836,86.9,12.8,2.7,5.2,29.8,27.5,31.2,3.6,30.2,77.7,29.2,73.1,49.3,87.1,50.7,42,15.9,33.3,39.8,26.8,41.3,22.9,30,5.9
Schwindel, Frank,643524,2022,0.635,88.1,10.2,4.7,7.9,24.7,22.8,37.2,1.9,35.5,73.8,36.8,62.8,52.2,79.3,47.8,41.8,26.5,42.3,34.4,23.3,47.4,21.9,23.3,7.4
Chang, Yu,644374,2022,0.605,88.8,14.3,9,5.4,19.8,29.7,31.5,4.5,36.9,67.7,28.2,47.3,51.2,81,48.8,45.5,29.3,39.6,39.6,20.7,41.4,28.8,25.2,4.5
Albies, Ozzie,645277,2022,0.703,87.1,16.9,5.4,6.9,23.5,33.3,28.4,2.5,26.5,81.2,42.6,66.7,59.6,84.9,40.4,39.7,22.9,46.6,35.3,18.1,38.7,31.9,21.1,8.3
